character,component
⺮,⺮
⺮,竹
々,々
〇,〇
〡,〡
〢,〢
〣,〣
〤,〤
〥,〥
〦,〦
〧,〧
〨,〨
〩,〩
〸,〸
〻,〻
㐄,㐄
㐄,十
㐄,㇗
㐄,丨
㐅,㐅
㐅,乂
㐌,㐌
㐌,𠂉
㐌,也
㐌,丿
㐌,一
㐌,乚
㐌,㇆
㐌,丨
㐖,㐖
㐖,吉
㐖,乚
㐖,士
㐖,口
㐜,㐜
㐜,求
㐜,九
㐜,𠂇
㐜,丶
㐜,氺
㐜,丿
㐜,㇈
㐡,㐡
㐡,九
㐡,耎
㐡,丿
㐡,㇈
㐡,而
㐡,大
㐤,㐤
㐤,九
㐤,真
㐤,丿
㐤,㇈
㐤,十
㐤,目
㐤,一
㐤,八
㐫,㐫
㐫,亠
㐫,乂
㐫,凵
㐰,㐰
㐰,亻
㐰,口
㐺,㐺
㐺,人
㑊,㑊
㑊,亻
㑊,亦
㑊,亠
㑊,丨
㑊,亅
㑊,八
㑇,㑇
㑇,亻
㑇,刍
㑇,⺈
㑇,彐
㑳,㑳
㑳,亻
㑳,芻
俊,俊
俊,亻
俊,夋
俊,厶
俊,八
俊,夂
㑺,㑺
㑺,亻
㑺,隽
㑺,隹
㑺,㇎
㑺,丿
㒳,㒳
㒳,𠓜
㒳,冂
㒳,丨
㒸,㒸
㒸,丷
㒸,豕
罔,罔
罔,冂
罔,丷
罔,一
罔,匸
罔,丶
㒺,㒺
㒺,𦉰
㒺,亾
㒺,冂
㒺,八
㒺,一
㒺,㇗
㒺,人
寇,寇
寇,宀
寇,二
寇,儿
寇,攴
㓂,㓂
㓂,冖
㓂,二
㓂,儿
㓂,女
㔾,㔾
㔾,乚
㔾,㇆
却,却
却,去
却,卩
却,土
却,厶
㕁,㕁
㕁,𠫤
㕁,卩
㕁,乂
㕁,𠂇
㕁,厶
厨,厨
厨,厂
厨,豆
厨,寸
㕑,㕑
㕑,厂
㕑,尌
㕑,十
㕑,豆
㕑,寸
参,参
参,彡
参,厶
参,大
㕘,㕘
㕘,厽
㕘,尒
㕘,人
㕘,小
㕥,㕥
㕥,口
㕥,人
以,以
以,人
以,乚
以,丶
㕯,㕯
㕯,内
㕯,口
㕯,人
㕯,冂
㕻,㕻
㕻,口
㕻,一
㕻,丿
㕻,卜
㕻,丶
㗂,㗂
㗂,口
㗂,省
㗂,小
㗂,丿
㗂,目
㘓,㘓
㘓,口
㘓,闌
㘓,門
㘓,木
㘓,丨
㘓,丷
㘎,㘎
㘎,口
㘎,阚
㘎,门
㘎,耳
㘎,⺙
㘚,㘚
㘚,口
㘚,闞
㘚,門
㘚,耳
㘚,⺙
坳,坳
坳,土
坳,幼
坳,幺
坳,力
㘭,㘭
㘭,土
㘭,幻
㘭,幺
㘭,㇆
㘵,㘵
㘵,土
㘵,布
㘵,𠂇
㘵,巾
㙍,㙍
㙍,土
㙍,叕
㙦,㙦
㙦,斜
㙦,土
㙦,人
㙦,干
㙦,小
㙦,斗
㚻,㚻
㚻,田
㚻,女
㛂,㛂
㛂,女
㛂,𠂬
㛂,⺁
㛂,丨
㛂,乚
㛃,㛃
㛃,㓞
㛃,女
㛃,一
㛃,二
㛃,丨
㛃,刀
㝄,㝄
㝄,享
㝄,屯
㝄,亠
㝄,口
㝄,子
㝄,十
㝄,屮
㝄,乚
㝇,㝇
㝇,享
宿,宿
宿,宀
宿,佰
宿,亻
宿,一
宿,白
㝛,㝛
㝛,宀
㝛,亻
㝛,一
㝛,人
㝛,冂
冥,冥
冥,冖
冥,昗
冥,日
冥,亠
冥,八
㝠,㝠
㝠,宀
㝠,昗
㝠,日
㝠,亠
㝠,八
最,最
最,曰
最,取
最,耳
最,又
㝡,㝡
㝡,宀
㝡,取
㝡,耳
㝡,又
㝵,㝵
㝵,旦
㝵,寸
㝵,日
㝵,一
㞎,㞎
㞎,尸
㞎,巴
㞎,丨
㞎,乚
㞗,㞗
㞗,尸
㞗,求
㞗,𠂇
㞗,丶
㞗,氺
㞙,㞙
㞙,尾
㞙,水
㞙,尸
㞙,毛
𪨊,𪨊
𪨊,尸
𪨊,从
㞞,㞞
㞞,尸
㞞,從
㞞,彳
㞞,从
㞞,龰
岸,岸
岸,山
岸,厈
岸,厂
岸,干
㟁,㟁
㟁,山
㟁,厈
㟁,厂
㟁,干
㟃,㟃
㟃,山
㟃,司
㟃,㇆
㟃,一
㟃,口
岛,岛
岛,山
岛,㇆
岛,㇉
岛,丶
㠀,㠀
㠀,馬
㠀,山
㠇,㠇
㠇,山
㠇,就
㠇,亠
㠇,口
㠇,小
㠇,尢
㠇,丶
㠯,㠯
㠯,𤕪
帆,帆
帆,巾
帆,凡
帆,几
帆,丶
㠶,㠶
㠶,巾
㠶,凢
㠶,几
㠶,丶
帽,帽
帽,巾
帽,冒
帽,冂
帽,二
帽,目
㡌,㡌
㡌,巾
㡌,日
㡌,月
廉,廉
廉,广
廉,兼
廉,丷
廉,一
廉,八
廉,⺕
㢘,㢘
㢘,广
㢘,𠔥
㢘,八
㢘,一
㢘,彐
㢘,灬
迥,迥
迥,辶
迥,冋
迥,冂
迥,口
㢠,㢠
㢠,廴
㢠,冋
㢠,冂
㢠,口
㢲,㢲
㢲,弜
㢲,一
㢲,八
㢴,㢴
㢴,弓
㢴,囗
㢴,丶
㣟,㣟
㣟,彳
㣟,吉
㣟,士
㣟,口
㤅,㤅
㤅,心
㤅,十
㤅,㇗
㤅,丨
㤅,儿
恩,恩
恩,因
恩,心
恩,囗
恩,大
㤙,㤙
㤙,囙
㤙,心
㤙,囗
㥁,㥁
㥁,十
㥁,心
㥏,㥏
㥏,忄
㥏,典
㥏,二
㥏,凵
㥏,八
惬,惬
惬,忄
惬,匚
惬,人
惬,二
惬,丷
㥦,㥦
㥦,匧
㥦,心
㥦,匚
㥦,大
㥦,从
㤘,㤘
㤘,忄
㤘,刍
㤘,⺈
㤘,彐
㥮,㥮
㥮,忄
㥮,芻
㥯,㥯
㥯,彐
㥯,心
㦂,㦂
㦂,常
㦂,心
㦂,⺌
㦂,冖
㦂,口
㦂,巾
㧯,㧯
㧯,扌
㧯,老
拿,拿
拿,合
拿,手
拿,人
拿,一
拿,口
㧱,㧱
㧱,合
㧱,手
㧱,人
㧱,一
㧱,口
